spkid,pdes,full_name,neo,pha,H,epoch,e,a,q,i,om,w,ma,tp,per_y,moid,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,condition_code,n_obs_used,data_arc
20001566,1566,  1566 Icarus (1949 MA),Y,Y,16.53,2461200.5,0.8270188506567441,1.077994212612045,0.1864726778830097,22.80164022873813,87.94856454873877,31.44439446567389,329.1826621295523,2461235.4957809807,1.11926480109373,0.0338047,2.3213e-09,1.3123e-09,2.643e-09,5.8573e-07,2.2935e-07,3.4748e-07,5.6434e-06,0.0,1792,27807.0
20001620,1620,  1620 Geographos (1951 RA),Y,Y,15.27,2461200.5,0.3355177775810924,1.245803622710455,0.8278143599161694,13.33675505977734,337.13486631,277.0290683593075,354.6795027181432,2461208.006241551,1.39053711903013,0.0295314,9.1647e-10,2.1677e-10,1.1655e-09,4.1399e-08,1.9515e-07,2.2247e-07,5.1347e-07,0.0,9313,27267.0
20001862,1862,  1862 Apollo (1932 HA),Y,Y,16.09,2461200.5,0.5601800481273319,1.47071514163711,0.6468498628132382,6.35217898608049,35.50294307848998,286.0977380387027,224.3616015017788,2461445.954741005,1.7836147196549,0.0263183,1.5934e-09,1.975e-10,2.365e-09,7.4617e-08,8.2735e-07,6.8361e-07,5.9438e-07,0.0,3695,34822.0
20001981,1981,  1981 Midas (1973 EA),Y,Y,15.28,2461200.5,0.6504314469810176,1.776231868547232,0.620914804114259,39.82205969987218,356.7889936471771,267.8452607062967,148.6326626269966,2460843.5070245224,2.36732393398158,0.00384584,7.67e-10,1.77e-09,1.1193e-09,1.4943e-07,1.302e-07,1.6403e-07,1.8714e-06,0.0,2498,19295.0
20002101,2101,  2101 Adonis (1936 CA),Y,Y,18.69,2461200.5,0.7641209900522219,1.873783680289389,0.441986239362965,1.319987226265093,349.4052835072425,43.70501068581204,101.3392528894646,2460936.77408821,2.5650000651653,0.0114957,4.4991e-08,1.0382e-08,8.5007e-08,6.8802e-06,0.0004465,0.0004465,1.0476e-05,0.0,149,32656.0
20002102,2102,  2102 Tantalus (1975 YA),Y,Y,15.99,2461200.5,0.2993525411869277,1.290074865084216,0.9038876758998732,64.00427834491512,94.3521256528838,61.50560536508145,121.8783009132469,2461019.305634723,1.46531357490744,0.0425508,4.3236e-10,2.4425e-10,5.8958e-10,8.8748e-08,8.7062e-08,1.2144e-07,6.7166e-07,0.0,2316,18454.0
20002135,2135,  2135 Aristaeus (1977 HA),Y,Y,18.05,2461200.5,0.5030586306182083,1.599739533568636,0.7949767544657869,23.07163208204,191.1028441025867,290.9949246808749,134.5968681547153,2460924.184786636,2.02340173675353,0.00967484,1.2778e-06,7.4988e-08,2.0245e-06,5.1453e-05,0.00034127,0.00015603,0.00078631,1.0,61,15749.0
20002201,2201,  2201 Oljato (1947 XC),Y,Y,15.32,2461200.5,0.7108613720175702,2.178570754333103,0.6299089588705207,2.521727702170593,74.85244783124651,98.38185934450786,158.2996003499474,2460684.044093764,3.21562729318986,0.00270585,2.9728e-09,1.3476e-09,6.6334e-09,1.3435e-07,4.8297e-06,5.0236e-06,9.3828e-07,0.0,1861,34275.0
20002340,2340,  2340 Hathor (1976 UA),Y,Y,20.41,2461200.5,0.4499561430699934,0.8437498723561032,0.4640994340749517,5.860185941757463,211.2073161458129,40.20390513814882,96.28838570207772,2461124.7835206487,0.775048325798897,0.00639696,3.6087e-08,1.0422e-09,3.07e-08,4.3407e-06,1.3562e-05,1.4554e-05,7.5465e-06,0.0,572,16477.0
20003122,3122,  3122 Florence (1981 ET3),Y,Y,14.08,2461200.5,0.4232224394574257,1.768952762125574,1.020292258853837,22.14242023328569,336.0392375962005,27.87452192965417,252.0668854996105,2461458.146940016,2.35278669650544,0.0438758,5.9603e-10,4.4188e-10,1.109e-09,5.2531e-08,1.4696e-07,1.6978e-07,5.5127e-07,0.0,10270,17288.0
20003200,3200,  3200 Phaethon (1983 TB),Y,Y,14.38,2461200.5,0.8896722843692159,1.271464620920411,0.1402777871315099,22.31052728047163,265.0988060455101,322.300168483426,301.4858235833354,2461285.616438484,1.43372092122322,0.0187322,4.6983e-10,7.6705e-10,6.2773e-10,9.4161e-08,1.7105e-07,1.5125e-07,1.3485e-06,0.0,8544,15468.0
20003361,3361,  3361 Orpheus (1982 HR),Y,Y,19.5,2461200.5,0.3227822723951292,1.20947959321331,0.819081021700381,2.646502985515577,188.2569504564323,302.8557815468492,108.6958229784398,2461053.807942852,1.33016654297121,0.0144865,3.1413e-08,1.0025e-09,3.7774e-08,1.8005e-06,3.1328e-05,3.1493e-05,1.3689e-06,0.0,3216,16130.0
20003362,3362,  3362 Khufu (1984 QA),Y,Y,18.52,2461200.5,0.4684921922708827,0.9894947733584522,0.5259241977471707,9.916160128995658,152.3981310016034,55.0860164309871,240.6532547607591,2461319.686416571,0.984302207466121,0.0131588,5.7285e-07,1.1404e-08,5.7281e-07,1.1878e-05,5.8472e-05,4.7855e-05,0.00021947,1.0,262,7394.0
20003671,3671,  3671 Dionysus (1984 KD),Y,Y,16.5,2461200.5,0.5440374412714881,2.196563341839761,1.001550641754508,13.53117977944475,82.01077735566275,204.4764622709566,312.6060597808281,2461357.0432477263,3.25554572440281,0.0157607,1.8652e-08,1.0176e-09,4.0944e-08,3.4551e-06,1.3386e-05,1.4157e-05,4.7796e-06,0.0,1191,15365.0
20003757,3757,  3757 Anagolay (1982 XB),Y,Y,19.01,2461200.5,0.4457663618105244,1.834728451786492,1.016868224923371,3.866093774317779,74.92688598029741,17.24962831485384,171.6732221404839,2460767.631305566,2.48522604260301,0.0367265,4.1541e-08,2.2161e-09,7.6528e-08,5.3591e-06,6.0473e-05,6.3069e-05,1.3185e-05,0.0,211,15208.0
20004015,4015,  4015 Wilson-Harrington (1979 VA),Y,Y,16.16,2461200.5,0.6307928317562872,2.626684973602551,0.9697909209721096,2.798440660752119,266.7232510779861,95.49895026515443,320.7255713035856,2461370.135907657,4.25716209602719,0.0430642,2.4008e-08,3.3369e-09,6.3701e-08,3.9393e-06,6.8147e-05,6.8185e-05,2.5015e-06,0.0,1522,27524.0
20004034,4034,  4034 Vishnu (1986 PA),Y,Y,18.5,2461200.5,0.4440100917664866,1.059369528882109,0.5889987671485442,11.16925719946803,157.863681605813,296.7083200299103,82.73584124065569,2461108.9705550703,1.09038386836721,0.0191649,2.8109e-08,2.3348e-09,2.9405e-08,2.4904e-06,1.6079e-05,1.4843e-05,7.3932e-06,0.0,1313,14574.0
20004179,4179,  4179 Toutatis (1989 AC),Y,Y,15.29,2461200.5,0.6246302247178447,2.543047155641573,0.9545830393451016,0.4480836624628189,125.3654799655549,277.8615384113277,125.5161576467994,2460684.0513076577,4.05545719950745,0.00650597,1.3209e-09,6.1082e-10,3.5711e-09,1.7561e-07,2.208e-05,2.1664e-05,3.7376e-07,0.0,7141,33698.0
20004183,4183,  4183 Cuno (1959 LM),Y,Y,14.18,2461200.5,0.6361990547321827,1.981068726822038,0.7207146754583688,6.669563434120024,294.3426303510983,237.0113124255258,28.07405363330588,2461121.076254338,2.78841567627784,0.0283573,8.5933e-10,1.4725e-10,1.6754e-09,7.0722e-08,4.8059e-07,5.3086e-07,4.841e-07,0.0,5368,24508.0
20004450,4450,  4450 Pan (1987 SY),Y,Y,17.27,2461200.5,0.5865739819170429,1.442178472395645,0.5962341032074933,5.524126776230638,311.6659474343363,291.9979652348399,173.5397158120864,2460895.553733381,1.73195544309851,0.028861,1.9502e-08,2.1859e-09,2.7684e-08,3.1253e-06,1.9701e-05,1.9097e-05,9.4748e-06,0.0,1594,32459.0
20004486,4486,  4486 Mithra (1987 SB),Y,Y,15.62,2461200.5,0.6598497281232912,2.205244726339535,0.7501145932190711,3.029603411273411,82.1637683090684,169.3002221341814,336.4031483600793,2461278.90345053,3.27486491538455,0.0458128,1.3194e-08,7.992e-10,2.9178e-08,1.5459e-06,4.2561e-05,4.2016e-05,2.3094e-06,0.0,2070,14311.0
20004581,4581,  4581 Asclepius (1989 FC),Y,Y,20.74,2461200.5,0.3563837704716197,1.021277692858941,0.6573108979793151,4.926001892399088,180.2134412024837,255.4625327200767,64.09243778966929,2461133.385171371,1.03210521212333,0.00382456,4.9323e-08,1.8324e-08,6.1848e-08,2.5686e-06,2.0579e-05,2.0411e-05,2.5865e-05,0.0,424,11706.0
20004660,4660,  4660 Nereus (1982 DB),Y,Y,18.75,2461200.5,0.3587435768252949,1.485112611970113,0.9523380015635986,1.453541710528756,313.105557499926,159.5568090407644,158.7251334482576,2460909.0388283785,1.80986958454872,0.00401855,5.9876e-10,3.6375e-09,3.1753e-09,1.7101e-07,9.0765e-06,9.8976e-06,2.5212e-06,0.0,5002,16336.0
20004769,4769,  4769 Castalia (1989 PB),Y,Y,17.38,2461200.5,0.4831758015789954,1.06308849137437,0.5494298574051537,8.885190449241405,325.4991410102804,121.4523453593787,143.6125672636032,2461040.786180082,1.09613066410251,0.0204067,3.4921e-08,1.225e-09,3.6837e-08,4.4745e-06,1.038e-05,1.0529e-05,4.8546e-06,0.0,746,13488.0
20004953,4953,  4953 (1990 MU),Y,Y,14.88,2461200.5,0.6575602718148345,1.621370182805167,0.5552215646873337,24.37799071845777,77.51846195794433,77.93611592066743,211.4411517966971,2461511.6843323014,2.06457885610897,0.0250784,1.6123e-09,4.1266e-10,2.6465e-09,7.9161e-08,2.3269e-07,2.865e-07,6.1085e-07,0.0,3354,18686.0
20005011,5011,  5011 Ptah (6743 P-L),Y,Y,16.64,2461200.5,0.5001928386152668,1.635948502674329,0.8176587772932609,7.409734888368719,10.62090492483549,105.9663030239363,96.2768192349813,2460996.104136365,2.0924864054569,0.0245205,4.0006e-08,2.1907e-09,6.5252e-08,3.8057e-06,2.9062e-05,2.9172e-05,6.423e-06,0.0,782,24003.0
20005189,5189,  5189 (1990 UQ),Y,Y,17.85,2461200.5,0.4781415322652633,1.55196173991972,0.8099043755774411,3.580830242644158,135.0360566104537,160.0050267412709,203.5150471998894,2461507.4658233277,1.93343563169027,0.0448382,9.614e-09,2.2582e-09,1.521e-08,5.0358e-07,2.1044e-05,2.1557e-05,2.002e-06,0.0,1628,12870.0
20005604,5604,  5604 (1992 FE),Y,Y,17.32,2461200.5,0.4065044368191245,0.929948438536804,0.5519202722585763,4.69797105672612,311.9273283482224,82.7650421283153,209.4756065165214,2461337.4591702977,0.89680187290458,0.0334266,1.3235e-08,8.628e-09,1.0715e-08,2.0009e-06,1.2137e-05,1.1633e-05,2.5158e-06,0.0,1566,15054.0
20005693,5693,  5693 (1993 EA),Y,Y,16.78,2461200.5,0.5851655760134417,1.270525519525638,0.5270577220526407,5.05882729389157,96.97520701484154,258.9737667410413,256.0723380898154,2461351.5087706405,1.43213279916671,0.00586101,1.3383e-09,4.3273e-10,1.716e-09,8.2908e-08,6.9753e-07,6.5899e-07,9.8212e-07,0.0,3139,15464.0
20006037,6037,  6037 (1988 EG),Y,Y,18.86,2461200.5,0.4995504442880637,1.27158108859823,0.6363621908406846,3.510519020209468,182.1481495589309,242.3644986690376,302.1397939587764,2461284.6767186886,1.43391792155749,0.0240421,9.1118e-09,4.9062e-10,1.1772e-08,1.8282e-06,1.9936e-05,1.9764e-05,2.0124e-06,0.0,1102,13995.0
20006239,6239,  6239 Minos (1989 QF),Y,Y,18.59,2461200.5,0.4123646092016247,1.150937466175669,0.6763315877206313,3.941399682236777,344.4790088278273,239.7946514459915,343.4059062823577,2461221.2886868,1.23476921702907,0.0261237,2.4029e-09,5.6819e-10,2.9315e-09,9.0315e-08,1.9585e-06,1.7235e-06,1.8581e-06,0.0,2113,15707.0
20006489,6489,  6489 Golevka (1991 JX),Y,Y,19.22,2461200.5,0.6190939112625774,2.474378474226095,0.9425058266735332,2.260612192245343,208.5519487506632,69.78033485126763,302.9054901495539,2461425.9703652486,3.89230976309282,0.0225458,2.2744e-09,2.0763e-09,5.0625e-09,6.0813e-07,2.2095e-05,2.2972e-05,1.7214e-06,0.0,1017,8968.0
20006491,6491,  6491 (1991 OA),Y,Y,18.72,2461200.5,0.5918129713306689,2.501428582691071,1.021050700597204,6.157352886760133,299.9757271578621,326.3201492939236,289.6662746238318,2461482.8200417,3.95631046034633,0.0377293,3.52e-08,2.8161e-08,8.9387e-08,7.8711e-06,7.2923e-05,7.2742e-05,9.0674e-06,0.0,202,11898.0
20007335,7335,  7335 (1989 JA),Y,Y,17.7,2461200.5,0.4846564288797887,1.772338398035787,0.9133631992772367,15.15630744776688,61.20660240436186,232.4334474834381,239.6320141353328,2461488.655484221,2.35954449934621,0.0226487,9.0119e-09,9.9956e-09,1.6777e-08,3.622e-06,1.8062e-06,3.7327e-06,4.4422e-06,0.0,2578,13444.0
20007341,7341,  7341 (1991 VK),Y,Y,16.96,2461200.5,0.5061513700409449,1.841520033920787,0.9094321457939332,5.409870599121714,294.7229779449145,173.5203642827007,274.4579642818163,2461417.390324887,2.49903808135801,0.0478435,2.0662e-09,4.4683e-10,3.75e-09,1.3729e-06,1.3411e-05,1.2646e-05,7.392e-07,0.0,2387,11636.0
20007482,7482,  7482 (1994 PC1),Y,Y,16.58,2461200.5,0.3295321759502599,1.348658955990375,0.9042324356080608,33.46934749204918,117.8506529325638,47.49688657781213,264.1083041354863,2461352.8807604206,1.56625118782518,0.000613959,1.2627e-08,3.2665e-09,1.7157e-08,6.2935e-06,1.3771e-06,4.6274e-06,3.7817e-06,0.0,2081,18595.0
20007753,7753,  7753 (1988 XB),Y,Y,18.01,2461200.5,0.4814931823071283,1.467222571734466,0.7607649065171892,3.124762482067461,73.38514071552868,280.0698819580158,68.5893685330761,2461076.820782179,1.77726505430338,0.00651474,8.4124e-09,2.2928e-09,1.2515e-08,3.1458e-06,2.4843e-05,2.523e-05,2.3431e-06,0.0,1335,13289.0
20007822,7822,  7822 (1991 CS),Y,Y,17.34,2461200.5,0.1645913305886299,1.122704459359489,0.9379170385357222,37.12309321232198,156.8372246037425,249.4549825114854,319.4689514388742,2461249.4194918224,1.18961484148746,0.0219192,1.9805e-08,3.0087e-09,2.3154e-08,3.538e-06,2.2909e-06,6.2038e-06,1.0328e-05,0.0,3809,11845.0
20008014,8014,  8014 (1990 MF),Y,Y,18.88,2461200.5,0.4563665089347919,1.747337951716794,0.9499114307625308,1.867585576891053,209.753295510043,114.8558169018197,187.4127113619347,2461604.9548957776,2.3097956915656,0.0167195,8.0701e-09,6.9593e-09,1.3631e-08,5.1513e-07,5.689e-05,5.6834e-05,5.0374e-06,0.0,1297,13005.0
20008566,8566,  8566 (1996 EN),Y,Y,16.47,2461200.5,0.4303842862505558,1.506278431810615,0.8579998640411969,37.98278074873155,164.0928825658955,125.1553536665697,49.97368326853591,2461106.7664269414,1.84869849883839,0.022431,3.191e-09,8.9606e-10,5.2417e-09,2.8632e-07,3.8665e-07,6.5511e-07,8.1846e-07,0.0,3649,15282.0
20009856,9856,  9856 (1991 EE),Y,Y,17.08,2461200.5,0.6253872584329812,2.243591562145471,0.8404779860519456,9.828894877652107,168.0527821315966,116.2708411096343,130.6540871990822,2460755.013422526,3.36065475683719,0.0225618,1.2316e-08,1.5773e-09,2.8103e-08,3.801e-06,1.9238e-05,1.9443e-05,3.2458e-06,0.0,1365,12747.0
20010115,10115, 10115 (1992 SK),Y,Y,17.14,2461200.5,0.3248821551152989,1.248516024397156,0.8428954476950227,15.31841222175664,8.8690083244442,233.7260443528945,148.3811466653697,2460990.4774969025,1.39508086979843,0.0454208,2.2921e-09,8.3325e-10,3.2221e-09,1.3788e-07,5.928e-07,9.8069e-07,1.5264e-06,0.0,2899,26031.0
20011500,11500, 11500 Tomaiyowit (1989 UR),Y,Y,18.38,2461200.5,0.3558265024581628,1.079830696226013,0.695598316340948,10.31047662215075,234.3822946562247,289.5304781872391,130.5977290838534,2461051.8157197884,1.12212620792153,0.0342305,3.5971e-08,3.2709e-09,3.8342e-08,3.3689e-06,1.2237e-05,1.31e-05,1.2444e-05,0.0,1235,13157.0
